"id";"title";"imdb_rating";"year_of_release"
1;"Casino";8.2;"1995"
2;"The Departed";8.5;"2006"
3;"Raging Bull";8.1;"1980"
4;"The Wolf of Wall Street";8.2;"2013"
5;"The Quiet American";7.0;"2002"
6;"Salt";6.4;"2010"
7;"The Shawshank Redemption";9.3;"1994"
8;"The Illusionist";7.5;"2006"
9;"The Upside";7.0;"2017"
10;"The Green Mile";8.6;"1999"
11;"Taxi Driver";8.2;"1976"
12;"Goodfellas";8.7;"1990"
13;"The Irishman";7.8;"2019"
14;"The Aviator";7.5;"2004"
15;"Limitless";7.4;"2011"
16;"Above Suspicion";5.7;"2019"
17;"The Giver";6.4;"2014"
18;"Spotlight";8.1;"2015"
19;"Win Win";7.1;"2011"
20;"Moneyball";7.6;"2011"
21;"Foxcatcher";7.0;"2014"
